Date;Академгородок;Дрокино;Кировский;КрАЗ;Ленина, 41;Минино;о. Молокова;Николаевка;Овинный-Таймыр;Партизана, 3г;Песчанка;Покровка;Шахтеров, 25;Солонцы;Спутник;Светлый;Свердловский;о. Татышев;Телевизорная, 1/31;Удачный;Ветлужанка;Mean
2019-03-20;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0
2019-03-21;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0
2019-03-22;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0
2019-03-23;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0
2019-03-24;320.0;320.0;320.0;320.0;320.0;320.0;320.0;320.0;320.0;320.0;320.0;320.0;320.0;320.0;320.0;320.0;320.0;320.0;320.0;320.0;320.0;320.0
2019-03-25;334.0;334.0;334.0;334.0;334.0;334.0;334.0;334.0;334.0;334.0;334.0;334.0;334.0;334.0;334.0;334.0;334.0;334.0;334.0;334.0;334.0;334.0
2019-03-26;260.0;260.0;260.0;260.0;260.0;260.0;260.0;260.0;260.0;260.0;260.0;260.0;260.0;260.0;260.0;260.0;260.0;260.0;260.0;260.0;260.0;260.0
2019-03-27;122.0;122.0;122.0;122.0;122.0;122.0;122.0;122.0;122.0;122.0;122.0;122.0;122.0;122.0;122.0;122.0;122.0;122.0;122.0;122.0;122.0;122.0
2019-03-28;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0;297.0
2019-03-29;76.0;76.0;76.0;76.0;76.0;76.0;76.0;76.0;76.0;76.0;76.0;76.0;76.0;76.0;76.0;76.0;76.0;76.0;76.0;76.0;76.0;76.0
2019-03-30;111.0;111.0;111.0;111.0;111.0;111.0;111.0;111.0;111.0;111.0;111.0;111.0;111.0;111.0;111.0;111.0;111.0;111.0;111.0;111.0;111.0;111.0
2019-03-31;279.0;279.0;279.0;279.0;279.0;279.0;279.0;279.0;279.0;279.0;279.0;279.0;279.0;279.0;279.0;279.0;279.0;279.0;279.0;279.0;279.0;279.0
