Date;Березовка;Ветлужанка;Кировский;Кубеково;Покровка;Свердловский;Северный;Солнечный;Черемушки
2019-10-06;;246.0;91.0;;265.0;114.0;23.0;109.0;129.0
2019-10-07;;247.0;349.0;;246.0;235.0;172.0;218.0;233.0
2019-10-08;;218.0;7.0;;318.0;69.0;105.0;278.0;308.0
2019-10-09;;212.0;47.0;;351.0;132.0;84.0;354.0;284.0
2019-10-10;;63.0;129.0;;90.0;113.0;357.0;106.0;82.0
2019-10-11;;59.0;143.0;;94.0;116.0;357.0;119.0;79.0
2019-10-12;;52.0;139.0;;93.0;127.0;357.0;121.0;80.0
2019-10-13;;225.0;70.0;;230.0;189.0;130.0;189.0;261.0
2019-10-14;;224.0;29.0;;233.0;214.0;116.0;200.0;167.0
2019-10-15;;215.0;66.0;;227.0;242.0;155.0;205.0;225.0
2019-10-16;;239.0;136.0;;237.0;227.0;164.0;213.0;234.0
2019-10-17;;236.0;134.0;;237.0;220.0;165.0;209.0;229.0
2019-10-18;;241.0;332.0;;261.0;240.0;175.0;236.0;233.0
2019-10-19;;236.0;172.0;;254.0;231.0;159.0;222.0;215.0
2019-10-20;;230.0;40.0;;320.0;85.0;97.0;354.0;321.0
2019-10-21;;224.0;357.0;;311.0;227.0;140.0;297.0;289.0
2019-10-22;;244.0;345.0;;245.0;225.0;171.0;210.0;228.0
2019-10-23;;229.0;165.0;;231.0;222.0;160.0;203.0;230.0
2019-10-24;;235.0;45.0;;243.0;225.0;171.0;212.0;229.0
2019-10-25;;230.0;353.0;;249.0;224.0;163.0;226.0;242.0
2019-10-26;;233.0;192.0;;254.0;212.0;164.0;219.0;237.0
2019-10-27;;232.0;333.0;;236.0;231.0;162.0;210.0;234.0
2019-10-28;;246.0;6.0;;250.0;244.0;173.0;211.0;228.0
2019-10-29;;232.0;342.0;;254.0;222.0;165.0;228.0;238.0
2019-10-30;;231.0;314.0;;280.0;57.0;147.0;291.0;293.0
2019-10-31;;190.0;89.0;;32.0;124.0;27.0;17.0;93.0
2019-11-01;;131.0;135.0;;115.0;136.0;360.0;125.0;79.0
2019-11-02;;234.0;333.0;;256.0;254.0;156.0;239.0;250.0
2019-11-03;;233.0;309.0;;273.0;331.0;158.0;273.0;260.0
2019-11-04;;51.0;133.0;;96.0;124.0;358.0;139.0;85.0
2019-11-05;;226.0;114.0;;19.0;186.0;1.0;135.0;110.0
2019-11-06;;239.0;337.0;;250.0;229.0;176.0;229.0;227.0
2019-11-07;;238.0;62.0;;244.0;215.0;178.0;226.0;227.0
2019-11-08;;233.0;28.0;;241.0;214.0;174.0;222.0;228.0
2019-11-09;;224.0;325.0;;276.0;234.0;152.0;275.0;276.0
2019-11-10;;226.0;338.0;;304.0;306.0;143.0;295.0;292.0
2019-11-11;;233.0;316.0;;281.0;286.0;152.0;280.0;263.0
2019-11-12;;237.0;264.0;;241.0;226.0;170.0;237.0;233.0
2019-11-13;;;327.0;;279.0;273.0;141.0;283.0;288.0
2019-11-14;;;321.0;;278.0;275.0;160.0;279.0;272.0
2019-11-15;;;339.0;;309.0;194.0;154.0;312.0;295.0
2019-11-16;;;309.0;;257.0;242.0;173.0;240.0;233.0
2019-11-17;;;122.0;;201.0;218.0;146.0;200.0;194.0
2019-11-18;;;161.0;;170.0;221.0;69.0;169.0;137.0
2019-11-19;;;161.0;;209.0;229.0;145.0;210.0;202.0
2019-11-20;;;331.0;;309.0;45.0;152.0;301.0;282.0
2019-11-21;;;313.0;;264.0;278.0;172.0;254.0;238.0
2019-11-22;;;332.0;;271.0;253.0;179.0;270.0;221.0
2019-11-23;;;330.0;;257.0;234.0;175.0;239.0;229.0
2019-11-24;;;321.0;;263.0;237.0;171.0;250.0;232.0
2019-11-25;;;328.0;;294.0;190.0;150.0;288.0;288.0
2019-11-26;;;123.0;;259.0;182.0;5.0;196.0;139.0
2019-11-27;;;130.0;;214.0;128.0;;209.0;134.0
2019-11-28;;;274.0;;249.0;234.0;177.0;234.0;218.0
2019-11-29;;;304.0;;256.0;237.0;170.0;235.0;236.0
2019-11-30;;;308.0;;268.0;270.0;160.0;263.0;249.0
2019-12-01;;;308.0;;260.0;283.0;169.0;254.0;238.0
2019-12-02;;;305.0;;261.0;36.0;173.0;251.0;237.0
2019-12-03;;;219.0;;233.0;210.0;8.0;215.0;157.0
2019-12-04;;;6.0;;240.0;259.0;174.0;226.0;222.0
2019-12-05;;;108.0;;70.0;172.0;7.0;125.0;81.0
2019-12-06;;;330.0;;224.0;324.0;90.0;207.0;217.0
2019-12-07;;;119.0;;241.0;213.0;168.0;224.0;231.0
2019-12-08;;;339.0;;246.0;229.0;178.0;224.0;226.0
2019-12-09;;;336.0;;295.0;129.0;152.0;292.0;261.0
2019-12-10;;;303.0;;250.0;108.0;156.0;229.0;244.0
2019-12-11;;;319.0;;256.0;239.0;170.0;249.0;237.0
2019-12-12;;;289.0;;246.0;251.0;162.0;233.0;231.0
2019-12-13;;;303.0;;243.0;219.0;171.0;225.0;219.0
2019-12-14;;;315.0;;280.0;332.0;157.0;281.0;271.0
2019-12-15;;;309.0;;270.0;274.0;164.0;268.0;246.0
